Model,Scenario,Region,Sector,Unit,Year,Value,Value baseline,Value_diff,Direct Emissions Costs,Direct baseline,Direct Emission Costs diff,Indirect Emission Costs,Ind baseline,Indirect Emissions Costs diff
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2020,43.3093,43.3093,0,628781147.844585,628781147.844585,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2030,58.468,58.468,0,914554325.528512,914554325.528512,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2040,78.4341,78.4341,0,2434636226.38998,2434636226.38998,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2050,92.7169,92.7169,0,4334138379.54484,4334138379.54484,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2060,103.8707,103.8707,0,6242560534.37388,6242560534.37388,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2070,113.3167,113.3167,0,8598312483.46823,8598312483.46823,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2080,123.1373,123.1373,0,11174831939.7781,11174831939.7781,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2090,130.5732,130.5732,0,13957400688.6015,13957400688.6015,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),ResidentialCommercial,EJ/yr,2100,136.9358,136.9358,0,17600117879.61,17600117879.61,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2020,34.0922,34.0922,0,1630873638.12902,1630873638.12902,0,1655210851080,1655210851080,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2030,45.349,45.349,0,2332144884.21886,2332144884.21886,0,2340725503260,2340725503260,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2040,56.0807,56.0807,0,5192430227.8411,5192430227.8411,0,2471995796160,2471995796160,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2050,61.6179,61.6179,0,8222948177.92842,8222948177.92842,0,2926493887910,2926493887910,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2060,63.5281,63.5281,0,11183709557.8279,11183709557.8279,0,3302992519260,3302992519260,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2070,61.8433,61.8433,0,14320954416.3323,14320954416.3323,0,3652616060160,3652616060160,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2080,65.6849,65.6849,0,19699352911.7154,19699352911.7154,0,4011512732410,4011512732410,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2090,64.4995,64.4995,0,24069263937.4697,24069263937.4697,0,3828702536880,3828702536880,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Asia (No Japan),Transportation,EJ/yr,2100,68.6958,68.6958,0,29318764791.58,29318764791.58,0,4436761258750,4436761258750,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2020,20.528,20.528,0,159760411.569609,159760411.569609,0,418570837480,418570837480,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2030,28.2565,28.2565,0,214649293.697493,214649293.697493,0,639113160870,639113160870,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2040,37.3263,37.3263,0,584894837.268537,584894837.268537,0,987308540760,987308540760,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2050,48.0886,48.0886,0,1128126895.02799,1128126895.02799,0,1466232240520,1466232240520,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2060,60.3359,60.3359,0,1856745196.54208,1856745196.54208,0,2064951590790,2064951590790,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2070,72.1273,72.1273,0,3091473842.96401,3091473842.96401,0,2677057678290,2677057678290,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2080,85.1137,85.1137,0,4609720470.62386,4609720470.62386,0,3476228036410,3476228036410,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2090,96.6702,96.6702,0,8328674636.18502,8328674636.18502,0,3748528084800,3748528084800,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Industry,EJ/yr,2100,102.9977,102.9977,0,11167219004.5859,11167219004.5859,0,4391522811440,4391522811440,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2020,25.1959,25.1959,0,362783950.31,362783950.31,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2030,31.0889,31.0889,0,602003332.58,602003332.58,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2040,36.7825,36.7825,0,1800444929.25,1800444929.25,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2050,42.6839,42.6839,0,3511836483.18,3511836483.18,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2060,49.5431,49.5431,0,4828910377.43,4828910377.43,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2070,58.3129,58.3129,0,6035026821.19,6035026821.19,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2080,69.8043,69.8043,0,7466636112,7466636112,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2090,83.0571,83.0571,0,10766714872.5,10766714872.5,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,ResidentialCommercial,EJ/yr,2100,94.7425,94.7425,0,14524659133.27,14524659133.27,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2020,16.6702,16.6702,0,507445016.29,507445016.29,0,401435099780,401435099780,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2030,21.1245,21.1245,0,709557065.45,709557065.45,0,576222728070,576222728070,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2040,26.2706,26.2706,0,2094922670.1,2094922670.1,0,925935250040,925935250040,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2050,31.8705,31.8705,0,4341750838.05,4341750838.05,0,1437038962280,1437038962280,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2060,37.5977,37.5977,0,7458446436.19,7458446436.19,0,2002523286540,2002523286540,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2070,40.9507,40.9507,0,10714131578.21,10714131578.21,0,2261133230160,2261133230160,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2080,48.9981,48.9981,0,16313011104,16313011104,0,3098310415580,3098310415580,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2090,52.7277,52.7277,0,21702646649.25,21702646649.25,0,3159161645980,3159161645980,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Middle East + Africa,Transportation,EJ/yr,2100,61.513,61.513,0,30971364683,30971364683,0,4329461075910,4329461075910,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2020,14.3952,14.3952,0,113460972.775142,113460972.775142,0,182297303080,182297303080,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2030,17.813,17.813,0,148269379.834645,148269379.834645,0,240556531700,240556531700,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2040,21.682,21.682,0,397630860.901492,397630860.901492,0,334315520130,334315520130,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2050,24.919,24.919,0,749157552.352841,749157552.352841,0,422410635660,422410635660,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2060,28.3114,28.3114,0,1182551787.09102,1182551787.09102,0,530667568630,530667568630,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2070,31.3625,31.3625,0,1823975871.09311,1823975871.09311,0,623284068070,623284068070,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2080,34.1763,34.1763,0,2457598988.67955,2457598988.67955,0,737801309260,737801309260,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2090,36.2673,36.2673,0,3250762791.79954,3250762791.79954,0,739471360000,739471360000,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Industry,EJ/yr,2100,36.7588,36.7588,0,4080982290.31038,4080982290.31038,0,817730154520,817730154520,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2020,6.7347,6.7347,0,72642101.74,72642101.74,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2030,9.1632,9.1632,0,106766973.21,106766973.21,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2040,11.9707,11.9707,0,332022237.45,332022237.45,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2050,14.7597,14.7597,0,641277849.96,641277849.96,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2060,17.751,17.751,0,1125664002.63,1125664002.63,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2070,20.9695,20.9695,0,1822213023.72,1822213023.72,0,0,0,0
