Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2010,0.0432,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2010,4.3295,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2010,1.4631,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0.016,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,8.8164,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,1.9204,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0.6646,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0.0003,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0.9529,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,1.5888,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,1.9392,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,3.1041,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0.0007,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,0.0262,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,2.9156,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2010,2.8191,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0.2137,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,2.511,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,1.0275,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,1.8169,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,2.7039,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0.2469,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0.2276,Residential and Commercial,Solids
